,precision,recall,f1-score,accuracy
RF0,0.895833333333333,0.955555555555556,0.924731182795699,0.9
SVM0,0.891891891891892,0.916666666666667,0.904109589041096,0.866666666666667
RF1,0.918918918918919,0.918918918918919,0.918918918918919,0.9
SVM1,0.872340425531915,0.931818181818182,0.901098901098901,0.866666666666667
RF2,0.885714285714286,0.81578947368421,0.849315068493151,0.9
SVM2,0.833333333333333,0.75,0.789473684210526,0.866666666666667
RF0,0.857142857142857,0.954545454545455,0.903225806451613,0.858333333333333
RF1,0.864864864864865,0.864864864864865,0.864864864864865,0.858333333333333
RF2,0.852941176470588,0.743589743589744,0.794520547945205,0.858333333333333
RF0,0.842105263157895,0.941176470588235,0.888888888888889,0.916666666666667
RF1,0.955555555555556,0.934782608695652,0.945054945054945,0.916666666666667
RF2,0.945945945945946,0.875,0.909090909090909,0.916666666666667
RF0,0.825,1,0.904109589041096,0.921052631578947
RF1,0.952380952380952,0.930232558139535,0.941176470588235,0.9
RF2,0.921052631578947,0.795454545454545,0.853658536585366,0.921052631578947
SVM0,0.872727272727273,0.96,0.914285714285714,0.883333333333333
SVM1,0.933333333333333,0.8,0.861538461538462,0.883333333333333
SVM2,0.857142857142857,0.857142857142857,0.857142857142857,0.883333333333333
SVM0,0.883720930232558,1,0.938271604938272,0.916666666666667
SVM1,0.9,0.947368421052632,0.923076923076923,0.916666666666667
SVM2,0.972972972972973,0.818181818181818,0.888888888888889,0.916666666666667
SVM0,0.914893617021277,0.955555555555556,0.934782608695652,0.883333333333333
SVM1,0.871794871794872,0.894736842105263,0.883116883116883,0.883333333333333
SVM2,0.852941176470588,0.783783783783784,0.816901408450704,0.883333333333333
